source,date,headline,url,group,framing
Daily Mail ,01-29-2025,Israel says UN aid agency UNRWA 'riddled' with Hamas operatives,https://www.dailymail.co.uk/wires/afp/article-14338243/Israel-says-UN-aid-agency-UNRWA-riddled-Hamas-operatives.html,Palestine,
Daily Mail ,10-07-2024,ROBERT JENRICK: It's time we stood up against those who defend terrorists,https://www.dailymail.co.uk/debate/article-13930919/robert-jenrick-israel-palestine-terror-hamas-october-7.html,Palestine,
Daily Mail,08-13-2025,Terrorist group Hamas praises Albo for recognising a Palestinian state - and claims it vindicates its October 7 attack on Israel,https://www.dailymail.co.uk/news/article-14995365/Hamas-praises-Anthony-Albanese-Palestine.html,Palestine,
Daily Mail,08-10-2025,Israel kills Al Jazeera journalist it says was Hamas leader,https://www.dailymail.co.uk/wires/reuters/article-14988137/Israel-says-killed-Al-Jazeera-journalist.html,Palestine,Anas al-Sharif
Daily Mail,08-26-2025,Migrant Kilmar Abrego Garcia's two word insult for Trump as he's arrested again by ICE and branded a 'gangbanger',https://www.dailymail.co.uk/news/article-15035407/kilmar-abrego-garcia-migrant-arrest-ice-insult-trump.html,,Kilmar Abrego Garcia 
Daily Mail,01-28-2025,Hundreds of illegal migrants arrive back in Mexico after being deported from America in Trump's new clampdown as latest figures reveal lowest number crossing into US in years,https://www.dailymail.co.uk/news/article-14332921/illegal-migrants-arrive-Mexico-deported-Trump-clampdown.html,Mexico,
Daily Mail,09-12-2024,Cartels are 'rushing' hundreds of migrants through US-Mexico border before Trump takes office,https://www.dailymail.co.uk/news/us-border-crisis/article-14074147/Cartels-rushing-migrants-Mexico-border-Trump-takes-office.html,Mexico,
Daily Mail,09-02-2025,Video shows lethal U.S. missile strike on Venezuela 'drug boat' as Trump reveals 11 Tren de Aragua members were killed,https://www.dailymail.co.uk/news/article-15059255/donald-trump-venezuela-drugs-boat.html,Venezuela,
Daily Mail,08-26-2025,Illegal migrant sobs as he's arrested by ICE for warped 'Russian roulette' torture of woman in his native Venezuela,https://www.dailymail.co.uk/news/article-15035541/Illegal-migrant-sobs-hes-arrested-ICE-Russian-roulette-torture-woman-Venezuela-Texas.html,Venezuela,
Daily Mail,03-14-2025,Ceasfire first call amid Ukraine peacekeeping push,https://www.dailymail.co.uk/wires/aap/article-14499943/Ceasefire-call-amid-Ukraine-peacekeeping-push.html,Ukraine,
Fox  ,03-17-2025,"Ceasefire over as Israel strikes Gaza after Hamas refused to release hostages, officials say",https://www.foxnews.com/world/ceasefire-over-israel-strikes-gaza-after-hamas-refused-release-hostages-officials-say,Palestine,
Fox  ,09-03-2025,"Study disputes Gaza genocide charges, finds flawed data amid Hamas-driven narrative",https://www.foxnews.com/world/study-disputes-gaza-genocide-charges-finds-flawed-data-amid-hamas-driven-narrative,Palestine,
Fox  ,08-11-2025,Israel says Al Jazeera journalist killed in airstrike was head of Hamas 'terrorist cell',https://www.foxnews.com/world/israel-says-al-jazeera-journalist-killed-airstrike-head-hamas-terrorist-cell,Palestine ,Anas al-Sharif
Fox  ,11-27-2024,Trump says Mexico will stop flow of migrants after speaking with Mexican president following tariff threats,https://www.foxnews.com/politics/trump-says-mexico-stop-flow-migrants-after-speaking-mexican-president-following-tariff-threats,Mexico,
Fox  ,01-08-2025,Mexico disperses migrant caravans heading to US ahead of Trump inauguration,https://www.foxnews.com/politics/mexico-disperses-migrant-caravans-heading-us-ahead-trump-inauguration,Mexico,
Fox  ,09-03-2025,"Venezuela has been operating as a 'narco-state,' former DEA admin says",https://www.foxnews.com/video/6378307037112,Venezuela,
Fox  ,09-03-2025,US bolsters military presence in Caribbean near Venezuela amid Trump's efforts to halt drug trafficking,https://www.foxnews.com/politics/us-bolsters-military-presence-caribbean-near-venezuela-amid-trumps-efforts-halt-drug-trafficking,Venezuela,
Fox  ,09-03-2025,Trump administration ends second layer of temporary protected status for Venezuelan migrants,https://www.foxnews.com/politics/trump-administration-ends-second-layer-temporary-protected-status-venezuelan-migrants,Venezuela,
Fox  ,08-26-2025,Democrats outraged that alleged gang member could be sent to Uganda,https://www.foxnews.com/politics/democrats-outraged-alleged-gang-member-could-sent-uganda,,Kilmar Abrego Garcia 
Fox  ,04-16-2025,Maryland man' Kilmar Abrego Garcia exposed in police records as 'violent' repeat wife beater,https://www.foxnews.com/politics/maryland-man-kilmar-abrego-garcia-exposed-police-records-violent-repeat-wife-beater,,Kilmar Abrego Garcia 
NYT,09-02-2025,Ukraine Pursues a Weapons Buildup More Potent Than Any Security Guarantee,https://www.nytimes.com/2025/09/02/world/europe/ukraine-weapons-security.html,Ukraine,
NYT,08-25-2025,Expecting on the Front Lines: Motherhood in Ukraine’s Military,https://www.nytimes.com/2025/08/25/world/europe/ukraine-military-war-pregnancy.html,Ukraine,
NYT,09-14-2024,How Hamas Uses Brutality to Maintain Power,https://www.nytimes.com/2024/09/13/us/politics/hamas-power-gaza-violence-israel.html,Palestine,
NYT,08-22-2025,"Gaza City and Surrounding Areas Are Officially Under Famine, Monitors Say",https://www.nytimes.com/2025/08/22/world/middleeast/famine-gaza-city-israel.html?searchResultPosition=20,Palestine,
NYT,02-27-2025,Mexico Transfers Dozens of Cartel Operatives to U.S. Custody,https://www.nytimes.com/2025/02/27/us/politics/mexico-cartel-sheinbaum-trump.html?searchResultPosition=18,Mexico,
NYT,05-04-2025,"Trapped and Hungry in Mexico, Migrants Struggle to Return Home",https://www.nytimes.com/2025/05/04/world/americas/mexico-venezuela-migrants.html,Mexico/Venezuela,
NYT,05-16-2025,Trump Appointee Pressed Analyst to Redo Intelligence on Venezuelan Gang,https://www.nytimes.com/2025/05/16/us/politics/trump-appointee-venezuela-gang.html?searchResultPosition=19,Venezuela,
NYT,01-23-2025,Inside the Plan to Receive Thousands of Mexicans Deported from the U.S. ,https://www.nytimes.com/2025/01/23/world/americas/mexico-deportation-trump.html?searchResultPosition=19,Mexico,
NYT,08-11-2025,"Strike That Killed 5 Journalists Was Aimed at One of Them, Israel Says","https://www.nytimes.com/2025/08/11/world/middleeast/al-jazeera-journalists-bios.html#:~:text=Strike%20That%20Killed%205%20Journalists,all%20worked%20for%20the%20network.",Palestine ,Anas al-Sharif
NYT,08-25-2025,Abrego Garcia Detained Again After Government Signaled It Would Re-Deport Him,https://www.nytimes.com/2025/08/25/us/politics/kilmar-abrego-garcia-arrested-ice-deportation.html?searchResultPosition=3,,Kilmar Abrego Garcia 
The Independent,08-26-2025,Kilmar Abrego Garcia is back in jail and facing deportation. Here's what to know,https://www.independent.co.uk/news/uganda-donald-trump-costa-rica-tennessee-virginia-b2814615.html,,Kilmar Abrego Garcia 
The Independent,08-22-2025,Israel ramps up pressure on Gaza City as Palestinians face stark choice: ‘Die here or leave and die somewhere else',https://www.independent.co.uk/news/world/middle-east/israel-gaza-city-palestine-netanyahu-war-b2811896.html,Palestine,
The Independent,08-10-2025,Terror and death as Israel strikes school in Gaza during prayers,https://www.independent.co.uk/news/world/israeli-strike-gaza-school-hamas-palestinians-b2594465.html,Palestine,
The Independent,08-12-2025,Anas al-Sharif: Who was the Al Jazeera journalist killed by Israel?,https://www.independent.co.uk/news/world/middle-east/anas-al-sharif-al-jazeera-journalist-killed-israel-gaza-b2805917.html,Palestine ,Anas al-Sharif
The Independent,07-19-2025,Trump administration imposes limits on Mexican flights and threatens Delta alliance in trade dispute,https://www.independent.co.uk/news/aeromexico-mexican-delta-mexico-city-trump-b2792273.html,Mexico,
The Indpependent,08-06-2025,"About 300 migrants start walking north in southern Mexico, but goal is not US border",https://www.independent.co.uk/news/mexico-claudia-sheinbaum-donald-trump-mexico-city-guatemala-b2803181.html,Mexico,
The Independent,09-14-2025,Venezuela says US marines raided a fishermen’s boat in the Caribbean as tensions rise,https://www.independent.co.uk/news/world/americas/us-politics/venezuela-donald-trump-marines-b2826087.html,Venezuela,
The Independent,09-03-2025,US military kills 11 with missile strike on boat 'carrying drugs' from Venezuela,https://www.independent.co.uk/news/world/americas/us-military-venezuela-drugs-boat-missile-strike-b2819151.html,Venezuela,
The Independent,07-25-2022,The money is gone': Evacuated Ukrainians forced to return,https://www.independent.co.uk/news/ap-ukraine-donetsk-vladimir-putin-taxi-drivers-b2130355.html,Ukraine,
The Independent,04-25-2025,Mapped: Territory Ukraine could lose as details of US peace deal proposal revealed,https://www.independent.co.uk/news/world/europe/ukraine-russia-war-mapped-territory-peace-deal-us-proposal-b2739480.html,Ukraine,